iter	Logloss
0	0.6731279937
1	0.6563111288
2	0.6394246105
3	0.6235948831
4	0.6069909749
5	0.594768924
6	0.582539515
7	0.5697473501
8	0.5582896165
9	0.548151741
10	0.5400551925
11	0.5315224763
12	0.52356729
13	0.5161343075
14	0.5101869867
15	0.5036972218
16	0.4977428899
17	0.4926570555
18	0.4874136782
19	0.4822472
20	0.4776471084
21	0.4730335594
22	0.4692289697
23	0.4654856847
24	0.4620925742
25	0.4589182719
26	0.4570585503
27	0.4546118175
28	0.4519454558
29	0.4494238491
30	0.4476576153
31	0.4449462599
32	0.4431969229
33	0.4404405014
34	0.4382467936
35	0.4374774069
36	0.4356270625
37	0.433944521
38	0.432507714
39	0.4319283547
40	0.4311560426
41	0.429415218
42	0.4279511614
43	0.4267050339
44	0.4253811517
45	0.4239133324
46	0.4225693434
47	0.4214284705
48	0.4205662546
49	0.419422075
50	0.4185910251
51	0.4176403222
52	0.4169537291
53	0.4160625411
54	0.4151825194
55	0.4144751957
56	0.4139890366
57	0.4135931515
58	0.4128060898
59	0.4121904385
60	0.4114533881
61	0.4106802177
62	0.4102185527
63	0.4098018608
64	0.4092699572
65	0.4088179028
66	0.40864666
67	0.4081944008
68	0.4079045836
69	0.4076838354
70	0.4074516229
71	0.4072192543
72	0.4067399034
73	0.4061867921
74	0.4055565058
75	0.4050976735
76	0.4048838534
77	0.404390337
78	0.4038381378
79	0.4034198969
80	0.4031108314
81	0.4024102407
82	0.4017782914
83	0.4017138052
84	0.4016717853
85	0.4013775447
86	0.4010815426
87	0.4005673467
88	0.4000527205
89	0.3999565539
90	0.3998977355
91	0.3995845797
92	0.3993739645
93	0.3992898596
94	0.3992771613
95	0.3990820678
96	0.3988589357
97	0.3985950052
98	0.3979680979
99	0.397676974
100	0.3974088749
101	0.3970457256
102	0.3967753138
103	0.3965640175
104	0.3964951953
105	0.3961837581
106	0.3959829385
107	0.3955642342
108	0.3955468598
109	0.3952060811
110	0.3951774909
111	0.394901418
112	0.394666575
113	0.3943286011
114	0.3940046092
115	0.3939776441
116	0.3935530151
117	0.3933234501
118	0.393235358
119	0.3932270673
120	0.3929943939
121	0.3928143901
122	0.3925428971
123	0.3922589028
124	0.3921246288
125	0.3920860529
126	0.391947011
127	0.3918008423
128	0.3915587556
129	0.3912787768
130	0.3910728239
131	0.391023294
132	0.3910075233
133	0.390673528
134	0.3904583107
135	0.3903538366
136	0.3903417168
137	0.3899755517
138	0.3898639781
139	0.389857438
140	0.389689169
141	0.3893347749
142	0.3892177741
143	0.3892122394
144	0.3890908626
145	0.3890199964
146	0.3888484681
147	0.3886257231
148	0.3884073333
149	0.388403766
150	0.3881471336
151	0.3881011275
152	0.3880245624
153	0.3879062956
154	0.3878872096
155	0.3876532805
156	0.3875592988
157	0.3874134906
158	0.3873101322
159	0.387305598
160	0.3872623151
161	0.3871174446
162	0.3870107228
163	0.3869600908
164	0.3869592899
165	0.3868627597
166	0.386833603
167	0.3867196943
168	0.3865566714
169	0.3865566634
170	0.3864226566
171	0.3861939769
172	0.3861786045
173	0.3860579197
174	0.3859144725
175	0.3859047367
176	0.385755002
177	0.3854667274
178	0.3854495405
179	0.3854282389
180	0.3852495657
181	0.3852495617
182	0.3852494815
183	0.3852386724
184	0.3852131494
185	0.3851976641
186	0.3849921355
187	0.3849052989
188	0.3848724808
189	0.3848077577
190	0.3844402417
191	0.384294377
192	0.38416657
193	0.3840879269
194	0.3840879237
195	0.3840337229
196	0.3839973253
197	0.3839277159
198	0.38372851
199	0.3836954458
