iter	Passed	Remaining
0	30	6133
1	54	5393
2	92	6060
3	127	6235
4	166	6501
5	187	6060
6	216	5976
7	245	5889
8	276	5870
9	308	5861
10	328	5642
11	354	5557
12	384	5531
13	417	5545
14	447	5513
15	476	5479
16	507	5460
17	531	5377
18	562	5354
19	591	5322
20	621	5301
21	651	5271
22	682	5255
23	715	5247
24	746	5225
25	777	5204
26	793	5086
27	819	5033
28	849	5009
29	879	4981
30	932	5085
31	973	5112
32	1004	5082
33	1033	5046
34	1063	5014
35	1075	4898
36	1104	4867
37	1135	4840
38	1165	4812
39	1177	4711
40	1193	4628
41	1223	4604
42	1256	4588
43	1286	4560
44	1317	4537
45	1346	4509
46	1377	4485
47	1411	4468
48	1437	4430
49	1467	4402
50	1498	4379
51	1530	4356
52	1562	4333
53	1594	4311
54	1625	4285
55	1656	4258
56	1685	4228
57	1706	4178
58	1737	4152
59	1803	4208
60	1834	4179
61	1879	4183
62	1909	4153
63	1937	4118
64	1966	4085
65	1997	4056
66	2023	4017
67	2057	3993
68	2088	3964
69	2118	3935
70	2134	3878
71	2154	3830
72	2183	3799
73	2213	3768
74	2243	3738
75	2275	3711
76	2291	3661
77	2323	3634
78	2354	3606
79	2386	3580
80	2448	3596
81	2477	3565
82	2506	3532
83	2526	3489
84	2536	3432
85	2564	3399
86	2594	3370
87	2625	3341
88	2656	3312
89	2672	3266
90	2701	3235
91	2732	3207
92	2761	3177
93	2782	3138
94	2802	3097
95	2831	3067
96	2851	3027
97	2880	2998
98	2908	2967
99	2937	2937
100	2969	2910
101	2999	2881
102	3030	2853
103	3060	2825
104	3075	2782
105	3106	2754
106	3137	2726
107	3170	2700
108	3181	2656
109	3213	2629
110	3224	2585
111	3258	2560
112	3291	2534
113	3325	2508
114	3357	2481
115	3387	2453
116	3449	2446
117	3479	2417
118	3498	2381
119	3518	2345
120	3549	2317
121	3580	2289
122	3611	2260
123	3642	2232
124	3673	2204
125	3695	2170
126	3726	2141
127	3758	2113
128	3789	2085
129	3819	2056
130	3850	2028
131	3880	1999
132	3911	1970
133	3942	1941
134	3973	1913
135	4003	1883
136	4014	1846
137	4047	1818
138	4077	1789
139	4093	1754
140	4123	1725
141	4153	1696
142	4183	1667
143	4194	1631
144	4225	1602
145	4255	1573
146	4286	1545
147	4317	1516
148	4347	1487
149	4369	1456
150	4403	1429
151	4433	1400
152	4463	1371
153	4492	1341
154	4511	1309
155	4541	1281
156	4571	1252
157	4600	1223
158	4630	1194
159	4659	1164
160	4688	1135
161	4718	1106
162	4746	1077
163	4777	1048
164	4798	1017
165	4827	988
166	4857	959
167	4904	934
168	4932	904
169	4939	871
170	4971	843
171	5001	814
172	5012	782
173	5040	753
174	5070	724
175	5094	694
176	5124	665
177	5154	637
178	5166	606
179	5196	577
180	5225	548
181	5231	517
182	5243	487
183	5273	458
184	5302	429
185	5317	400
186	5346	371
187	5377	343
188	5407	314
189	5438	286
190	5469	257
191	5500	229
192	5532	200
193	5564	172
194	5571	142
195	5602	114
196	5632	85
197	5662	57
198	5702	28
199	5719	0
