iter	Logloss
0	0.625707792
1	0.5791801974
2	0.5465886226
3	0.5212563109
4	0.501706172
5	0.483724412
6	0.4689555113
7	0.4579296958
8	0.4486511089
9	0.440894981
10	0.4339941365
11	0.4271108055
12	0.4224806809
13	0.4201689097
14	0.4175206538
15	0.4130726556
16	0.4101280582
17	0.4089097275
18	0.4063420796
19	0.4054362433
20	0.405029006
21	0.4028314649
22	0.4017257239
23	0.3995246373
24	0.3980475555
25	0.3967737747
26	0.3950717598
27	0.3945123401
28	0.3934713879
29	0.3931669158
30	0.3928334065
31	0.3928232157
32	0.3923755456
33	0.3920370109
34	0.3912008924
35	0.3904271177
36	0.3904266043
37	0.3897381996
38	0.3890477428
39	0.3879925323
40	0.3871572618
41	0.3864579243
42	0.3864579233
43	0.3856249259
44	0.3848641352
45	0.3847895821
46	0.3843004532
47	0.3840105516
48	0.3836651748
49	0.3831757812
50	0.3830900471
51	0.3830805303
52	0.3827195456
53	0.3827114279
54	0.3826576466
55	0.3816166514
56	0.3813607187
57	0.3806385121
58	0.380618897
59	0.3802165107
