iter	Passed	Remaining
0	21	1268
1	43	1255
2	69	1312
3	94	1318
4	119	1309
5	144	1299
6	170	1290
7	195	1268
8	220	1251
9	234	1174
10	259	1158
11	285	1140
12	310	1121
13	318	1047
14	345	1037
15	371	1020
16	396	1002
17	409	956
18	434	938
19	443	887
20	452	840
21	477	824
22	502	808
23	527	790
24	552	773
25	577	754
26	602	735
27	626	716
28	651	696
29	676	676
30	701	655
31	723	633
32	749	613
33	786	601
34	812	580
35	839	559
36	860	535
37	887	513
38	913	491
39	941	470
40	967	448
41	993	425
42	1019	402
43	1044	379
44	1070	356
45	1096	333
46	1123	310
47	1150	287
48	1177	264
49	1205	241
50	1233	217
51	1261	194
52	1289	170
53	1349	149
54	1377	125
55	1404	100
56	1433	75
57	1461	50
58	1504	25
59	1529	0
